tmdb_id,show_title,season_number,season_name,air_date,episode_count,overview,poster_url,season_id
200861,Suzhal - The Vortex,1,Season 1,2022-06-17,8,"Created by Pushkar and Gayatri, Suzhal - The Vortex is a crime thriller that goes beyond the routine investigation and threatens to shake up the cultural societal fabric, when a crime hits a small town in India. Set against the backdrop of an unique micro-festival, ancient myths collide with the tro",https://image.tmdb.org/t/p/w500/ymdtolY4EbhqGI2UpMndcmBFS18.jpg,291771
200861,Suzhal - The Vortex,2,Season 2,2025-02-28,8,"Created by Pushkar and Gayatri, Suzhal - The Vortex S2 begins with the shocking murder of senior activist lawyer CHELLAPPA, who defended NANDINI. SAKKARAI is called in to take over the investigation and help the family. Set against the backdrop of the massive Ashtakaali Festival in the small town of",https://image.tmdb.org/t/p/w500/aScE4sIpKeHnGmmeOdN0AIvFRqp.jpg,384781
200861,Suzhal - The Vortex,3,Season 3,,0,,,505936
238108,Call Me Bae,1,Season 1,2024-09-06,8,"Downsized from heiress to hustler, Bella 'Bae' Chowdhary played by Ananya Panday discovers her most valuable assets aren’t her diamonds, but her street smarts and style. Broke, but refusing to be broken, she navigates the newsrooms of Mumbai, finding beaus, behens, and her better self while breaking",https://image.tmdb.org/t/p/w500/qdWoYn4KOiZNjR4EOHUsNjamzJ0.jpg,362776
238108,Call Me Bae,2,Season 2,,1,"With her own news show finally on air, Bae is ready to rule! But fame comes with fallout. The drama in her personal life is even messier as Bae is caught between her returning ex-husband and her distractingly hot boss. And just when Bae thought her sisterhood was solid, a “Nayi Behen” enters, and th",,419306
154247,Human,1,Season 1,2022-01-14,10,,https://image.tmdb.org/t/p/w500/iy2VyrERsf7mUyyJOOKmK7hs0Ok.jpg,237381
155846,The Great Indian Murder,1,Season 1,2022-02-04,9,"When notorious industrialist Vicky Rai gets killed at his party, the main suspects are six guests, both invited and uninvited.",https://image.tmdb.org/t/p/w500/w8Ls211avpCfwJk2XaGBFbJYxh1.jpg,240554
247831,Mandala Murders,1,Season 1,2025-07-25,8,"When a series of ritualistic murders shakes a small town, a detective and an ex-cop must investigate a mystery with deep ties to their pasts.",https://image.tmdb.org/t/p/w500/jrsbvQYFQmdJ8O98lxI78hOm3Uv.jpg,381670
213713,Faltu,1,Season 1,2022-11-02,302,,,315105
216297,Dil Diyaan Gallaan,1,Season 1,2022-12-12,272,Generation and communication gaps lead to a rift between a couple and their children. It is now up to the grandchildren to ensure that the members express what's in their hearts and the family doesn't break apart.,,319978
229403,Scam 2003: The Telgi Story,1,Season 1,2023-08-31,10,,https://image.tmdb.org/t/p/w500/dI2w7eCMtarbvcmRJA7GqrThmH2.jpg,346577
218637,ATM,1,Season 1,2023-01-20,8,"Jagan, Karthik , Abhay, and Harsha, four kids fed up with their poor life in the slums of Hyderabad, become friends with a common goal of becoming rich. Now, all grown up, the lives of this group of friends who are into petty thefts take a turn when they steal a car with hidden diamonds. And there i",https://image.tmdb.org/t/p/w500/9bUUgYg9hpB1D5SucKJ3rqCpD6w.jpg,325085
307900,Secret Stories: Roslin,1,Season 1,2026-02-27,6,"A 17-year-old girl is plagued by nightmares of a green-eyed stalker, pulling her into a spiral of fear and despair.",https://image.tmdb.org/t/p/w500/caJ2Tn3ICYWaL9NjaYhJgbI8KMT.jpg,488753
117736,The Legend of Hanuman,1,Season 1,2021-01-29,13,,https://image.tmdb.org/t/p/w500/tZh40tPsF3xKmfFqArDsTHYL4A3.jpg,178850
117736,The Legend of Hanuman,2,Season 2,2021-08-05,13,,https://image.tmdb.org/t/p/w500/y3gyxOjXnPdWb43x0MlOIj5IPhK.jpg,204429
117736,The Legend of Hanuman,3,Season 3,2024-01-12,6,,https://image.tmdb.org/t/p/w500/mNH8hwruuRTgbmL8iHjHM73tmJE.jpg,347086
117736,The Legend of Hanuman,4,Season 4,2024-06-05,7,,https://image.tmdb.org/t/p/w500/7YRPJ3pOsgfdCQnUzgn1FMxnthN.jpg,392175
117736,The Legend of Hanuman,5,Season 5,2024-10-25,6,,https://image.tmdb.org/t/p/w500/5PBsrG43twpomowfSHjNfug7FWF.jpg,421951
117736,The Legend of Hanuman,6,Season 6,2025-04-11,7,,https://image.tmdb.org/t/p/w500/wAAgTRsPgNwg0EsApFTcyPK8pn8.jpg,447056
204921,Aay Tobe Sohochori,1,Season 1,2021-09-13,341,,,298845
